93195		1		1		0.000007			31			31
93195		2		2		0.000002			20			61
93195		3		6		0.000003			68			122
93195		4		24		0.000003			87			148
93195		5		120		0.000013			95			207
93195		6		720		0.000013			149			261
93195		7		5040		0.000147			148			282
93195		8		40320		0.000621			152			372
93195		9		362880		0.007326			179			397
93195		10		3628800		0.068781			173			440
93195		11		39916800		0.594657			185			497
93195		12		479001600		7.973295			200			522
93195		13		6227020800		99.767568			208			573
93195		14		87178291200		1445.702589			233			665
