93195		1		2		0.000007			31			31
93195		2		3		0.000002			20			61
93195		3		6		0.000003			68			122
93195		4		18		0.000004			87			148
93195		5		41		0.000007			95			207
93195		6		93		0.000024			149			261
93195		7		442		0.000101			148			282
93195		8		259		0.000137			152			372
93195		9		1820		0.001354			179			397
93195		10		887		0.002395			173			440
93195		11		1589		0.012318			185			497
93195		12		13140		0.054811			200			522
93195		13		74067		1.406510			208			573
93195		14		11801		0.408696			233			665
93195		15		11828		3.233629			265			679
93195		16		10760		5.488163			243			720
93195		17		84801		440.842138			287			779
