91153		1		2		0.000008			29			29
91153		2		8		0.000001			52			81
91153		3		18		0.000001			79			100
91153		4		32		0.000001			90			141
91153		5		50		0.000001			136			223
91153		6		72		0.000001			156			221
91153		7		98		0.000002			177			270
91153		8		128		0.000001			184			299
91153		9		162		0.000002			194			360
91153		10		200		0.000003			205			427
91153		11		242		0.000002			245			476
91153		12		288		0.000001			272			504
91153		13		338		0.000003			228			627
91153		14		392		0.000002			321			682
91153		15		450		0.000005			291			671
91153		16		512		0.000003			306			687
91153		17		578		0.000003			282			775
91153		18		648		0.000003			302			812
91153		19		722		0.000003			384			824
91153		20		800		0.000004			347			898
91153		21		882		0.000003			394			960
91153		22		968		0.000014			391			1067
91153		23		1058		0.000015			396			1016
91153		24		1152		0.000015			355			1059
91153		25		1250		0.000005			400			1185
91153		26		1352		0.000006			433			1186
91153		27		1458		0.000006			417			1195
91153		28		1568		0.000007			437			1315
91153		29		1682		0.000005			424			1368
91153		30		1800		0.000005			468			1423
91153		31		1922		0.000006			495			1473
91153		32		2048		0.000007			467			1522
